iter	Passed	Remaining
599	1452	968
600	1454	965
601	1456	962
602	1457	959
603	1459	957
604	1461	954
605	1464	952
606	1467	950
607	1469	947
608	1471	944
609	1473	941
610	1475	939
611	1477	936
612	1479	933
613	1482	932
614	1485	929
615	1487	926
616	1489	924
617	1490	921
618	1492	918
619	1494	916
620	1498	914
621	1500	911
622	1502	909
623	1504	906
624	1506	903
625	1508	901
626	1510	898
627	1513	896
628	1516	894
629	1518	891
630	1520	889
631	1522	886
632	1524	883
633	1526	881
634	1530	879
635	1532	877
636	1535	874
637	1537	872
638	1539	870
639	1542	867
640	1544	865
641	1547	862
642	1549	860
643	1551	857
644	1553	855
645	1556	852
646	1558	850
647	1560	847
648	1563	845
649	1565	842
650	1567	840
651	1569	837
652	1571	835
653	1573	832
654	1575	829
655	1579	828
656	1581	825
657	1583	822
658	1585	820
659	1587	817
660	1589	815
661	1591	812
662	1594	810
663	1597	808
664	1599	805
665	1601	803
666	1603	800
667	1605	797
668	1607	795
669	1610	793
670	1613	790
671	1614	787
672	1616	785
673	1618	782
674	1620	780
675	1622	777
676	1625	775
677	1628	773
678	1630	770
679	1632	768
680	1634	765
681	1636	763
682	1638	760
683	1642	758
684	1644	756
685	1647	753
686	1649	751
687	1651	748
688	1653	746
689	1655	743
690	1658	741
691	1660	739
692	1663	736
693	1665	734
694	1667	731
695	1669	729
696	1671	726
697	1675	724
698	1677	722
699	1679	719
700	1681	717
701	1683	714
702	1685	712
703	1687	709
704	1691	707
705	1693	705
706	1695	702
707	1697	700
708	1699	697
709	1701	694
710	1703	692
711	1707	690
712	1709	688
713	1711	685
714	1713	683
715	1715	680
716	1717	678
717	1720	675
718	1724	674
719	1727	671
720	1730	669
721	1732	667
722	1734	664
723	1738	662
724	1740	660
725	1743	657
726	1745	655
727	1747	653
728	1749	650
729	1751	647
730	1755	645
731	1757	643
732	1759	640
733	1761	638
734	1763	635
735	1765	633
736	1767	630
737	1771	628
738	1773	626
739	1775	623
740	1777	621
741	1779	618
742	1781	616
743	1783	613
744	1786	611
745	1788	609
746	1791	606
747	1793	604
748	1795	601
749	1797	599
750	1799	596
751	1802	594
752	1805	592
753	1808	589
754	1810	587
755	1813	585
756	1815	582
757	1820	581
758	1822	578
759	1825	576
760	1827	574
761	1830	571
762	1832	569
763	1836	567
764	1839	564
765	1841	562
766	1844	560
767	1846	557
768	1850	555
769	1853	553
770	1856	551
771	1858	548
772	1861	546
773	1864	544
774	1869	542
775	1871	540
776	1874	537
777	1876	535
778	1878	533
779	1883	531
780	1886	529
781	1889	526
782	1891	524
783	1893	521
784	1896	519
785	1901	517
786	1903	515
787	1906	512
788	1908	510
789	1911	508
790	1916	506
791	1918	503
792	1921	501
793	1923	499
794	1926	496
795	1930	494
796	1933	492
797	1935	489
798	1938	487
799	1940	485
800	1942	482
801	1947	480
802	1950	478
803	1953	476
804	1955	473
805	1957	471
806	1959	468
807	1963	466
808	1966	464
809	1968	461
810	1971	459
811	1973	456
812	1975	454
813	1980	452
814	1983	450
815	1985	447
816	1987	445
817	1989	442
818	1991	440
819	1996	438
820	1999	435
821	2001	433
822	2003	430
823	2005	428
824	2007	425
825	2012	423
826	2014	421
827	2017	419
828	2019	416
829	2021	414
830	2023	411
831	2027	409
832	2030	407
833	2032	404
834	2034	402
835	2036	399
836	2038	397
837	2042	394
838	2044	392
839	2046	389
840	2048	387
841	2051	384
842	2053	382
843	2055	379
844	2057	377
845	2060	375
846	2063	372
847	2065	370
848	2067	367
849	2069	365
850	2071	362
851	2075	360
852	2078	358
853	2080	355
854	2082	353
855	2085	350
856	2087	348
857	2089	345
858	2091	343
859	2094	340
860	2096	338
861	2100	336
862	2102	333
863	2104	331
864	2106	328
865	2108	326
866	2110	323
867	2112	321
868	2117	319
869	2120	316
870	2123	314
871	2125	312
872	2127	309
873	2130	307
874	2133	304
875	2136	302
876	2138	299
877	2140	297
878	2142	294
879	2145	292
880	2148	290
881	2151	287
882	2154	285
883	2156	282
884	2158	280
885	2160	277
886	2163	275
887	2165	273
888	2167	270
889	2169	268
890	2172	265
891	2174	263
892	2176	260
893	2180	258
894	2182	256
895	2184	253
896	2186	251
897	2188	248
898	2189	246
899	2191	243
900	2194	241
901	2197	238
902	2199	236
903	2201	233
904	2203	231
905	2205	228
906	2207	226
907	2211	224
908	2213	221
909	2215	219
910	2217	216
911	2219	214
912	2222	211
913	2224	209
914	2227	206
915	2230	204
916	2232	202
917	2235	199
918	2237	197
919	2239	194
920	2241	192
921	2245	189
922	2247	187
923	2250	185
924	2252	182
925	2254	180
926	2256	177
927	2260	175
928	2262	172
929	2264	170
930	2266	167
931	2268	165
932	2270	163
933	2272	160
934	2276	158
935	2278	155
936	2280	153
937	2283	150
938	2285	148
939	2287	145
940	2289	143
941	2293	141
942	2295	138
943	2298	136
944	2300	133
945	2302	131
946	2304	128
947	2308	126
948	2311	124
949	2313	121
950	2315	119
951	2317	116
952	2319	114
953	2323	112
954	2326	109
955	2328	107
956	2331	104
957	2333	102
958	2335	99
959	2337	97
960	2341	95
961	2343	92
962	2346	90
963	2348	87
964	2350	85
965	2352	82
966	2356	80
967	2358	77
968	2361	75
969	2363	73
970	2366	70
971	2368	68
972	2371	65
973	2374	63
974	2377	60
975	2379	58
976	2381	56
977	2384	53
978	2387	51
979	2390	48
980	2393	46
981	2395	43
982	2397	41
983	2399	39
984	2401	36
985	2405	34
986	2408	31
987	2410	29
988	2412	26
989	2414	24
990	2416	21
991	2420	19
992	2422	17
993	2425	14
994	2427	12
995	2429	9
996	2431	7
997	2433	4
998	2437	2
999	2439	0
