iter	RMSE
133	448.8292512
134	445.5622003
135	441.7979262
136	438.3797189
137	435.5314162
138	433.5706648
139	430.7744402
140	426.8669589
141	424.9949045
142	421.3806796
143	418.3983469
144	415.1151283
145	410.4399273
146	405.8573633
147	403.2205353
148	401.8353081
149	399.6968959
150	398.2544658
151	396.426425
152	392.8452729
153	386.1696875
154	383.419295
155	380.1559096
156	375.0138035
157	370.8059108
158	367.8257896
159	365.1614281
160	363.1013566
161	359.7679725
162	357.6764193
163	355.0585444
164	353.3409043
165	352.0127782
166	349.5649203
167	347.3725988
168	344.7274206
169	341.4227493
170	339.3271945
171	336.0793389
172	332.8382089
173	329.3189973
174	324.058367
175	321.9269758
176	318.445642
177	316.1561976
178	313.6457307
179	310.7966079
180	308.3414362
181	305.4158694
182	303.6213955
183	301.0610858
184	297.5616124
185	296.5079662
186	294.1961039
187	292.0995578
188	290.058146
189	287.4559317
190	285.4654137
191	283.1292909
192	280.9118043
193	278.2497998
194	275.1324287
195	272.0480373
196	270.308003
197	267.9549054
198	265.0227088
199	263.1268086
200	261.4845116
201	259.9590553
202	257.7830236
203	256.3318042
204	254.3439894
205	252.6059518
206	251.2713884
207	248.8658916
208	246.9477714
209	245.2807076
210	243.5188348
211	241.7211026
212	240.3955813
213	239.0765463
214	236.5501891
215	234.0653298
216	232.3742843
217	230.8335447
218	229.0865697
219	227.6053043
220	226.7201492
221	224.50882
222	223.2599838
223	222.0189591
224	219.0116475
225	216.8547473
226	214.1115167
227	211.7397999
228	210.4129181
229	209.1226814
230	208.1044965
231	204.9038819
232	203.2373802
233	202.23452
234	199.6605446
235	198.0477205
236	196.6032587
237	194.1673451
238	192.6694736
239	192.032591
240	190.8274829
241	188.6583252
242	187.1067856
243	186.2311401
244	185.3589754
245	184.0888441
246	183.376008
247	181.414552
248	179.4431694
249	178.0934134
250	177.6338679
251	176.0540577
252	174.7978309
253	172.3431479
254	170.9147673
255	169.9931824
256	168.6367572
257	167.7477475
258	165.8217696
259	164.476482
260	163.7480043
261	161.2673581
262	159.8476124
263	158.6669376
264	157.1034596
265	155.4547789
266	154.4426005
267	153.1649902
268	152.0653906
269	150.9281641
270	150.5640254
271	148.840511
272	147.7618991
273	147.0252529
274	146.1879936
275	145.0495966
276	143.7767271
277	142.7680538
278	141.6896999
279	140.713311
280	139.3017752
281	138.9909471
282	138.4881259
283	137.0595981
284	136.6585046
285	135.5071527
286	134.4319399
287	133.459446
288	131.9656413
289	130.86362
290	130.0305405
291	129.4592115
292	127.9371363
293	126.5717581
294	126.0234566
295	125.1019154
296	123.6089496
297	122.8923043
298	121.3438752
299	120.6452919
300	119.2575093
301	118.6291107
302	117.2190039
303	116.1790587
304	115.2576108
305	113.9175037
306	112.9093057
307	112.4045951
308	111.5568513
309	110.8603959
310	110.0866498
311	109.407407
312	108.5440688
313	107.9827261
314	107.5497507
315	107.0511852
316	106.4344487
317	105.5125005
318	104.9664049
319	104.3192197
320	103.3103153
321	102.5531077
322	101.8533277
323	101.2498477
324	100.352751
325	99.38560388
326	98.73241094
327	98.44870328
328	97.81072443
329	97.05789331
330	96.29362645
331	95.63150787
332	95.23468045
333	94.59064837
334	93.92159774
335	93.50465317
336	92.81108791
337	92.15785843
338	91.27600108
339	90.59562511
340	89.90802841
341	89.33341744
342	88.72820424
343	88.03070772
344	87.44339362
345	86.38960739
346	85.70242906
347	85.12209581
348	84.84393584
349	84.27680866
350	83.92850601
351	83.44557475
352	82.82596549
353	82.33072555
354	81.87871145
355	81.36636843
356	80.91022071
357	80.20791211
358	79.50733551
359	79.04288335
360	78.53911371
361	78.09091644
362	77.65422921
363	77.1067379
364	76.68524677
365	76.06917783
366	75.67908875
367	75.00750607
368	74.60609235
369	73.97404187
370	73.48048951
371	72.71474233
372	72.09344704
373	71.80006794
374	71.47017865
375	70.85061709
376	70.35588773
377	69.69279327
378	69.2261204
379	68.8933572
380	68.77590598
381	68.49004163
382	67.72127265
383	67.16543339
384	66.49517698
385	65.932938
386	65.57706317
387	65.27511239
388	64.85132485
389	64.54816735
390	64.069657
391	63.39772046
392	62.98184606
393	62.68360344
394	62.39118516
395	61.85651118
396	61.24361155
397	60.97772713
398	60.75302688
399	60.19530431
400	59.48230436
401	59.25914852
402	58.95213134
403	58.35037774
404	57.89815716
405	57.48800345
406	57.26315307
407	56.83063085
408	56.37211335
409	55.96406474
410	55.4206349
411	55.12816599
412	54.68578232
413	54.40007886
414	53.88887508
415	53.4238447
416	53.13718982
417	52.71698692
418	52.48733649
419	52.35974188
420	51.96295233
421	51.59961007
422	51.35354967
423	51.01324162
424	50.80258228
425	50.69054095
426	50.15354927
427	49.82420234
428	49.18033873
429	49.10877969
430	48.79874749
431	48.23810329
432	48.06383944
433	47.53009231
434	47.2102934
435	47.00769728
436	46.73269269
437	46.38635546
438	46.0812646
439	46.04271109
440	45.90161825
441	45.57354891
442	45.48735859
443	45.0697395
444	44.99249918
445	44.61892555
446	44.33789583
447	44.31655537
448	44.04751409
449	43.87368843
450	43.68295432
451	43.20737029
452	42.96263217
453	42.69168886
454	42.45692246
455	42.03057474
456	41.75606479
457	41.37161319
458	41.30385982
459	40.93298277
460	40.6693574
461	40.47361537
462	40.36215777
463	40.20595337
464	40.04411302
465	39.93524728
466	39.62712854
467	39.31431721
468	39.13610296
469	38.90228807
470	38.78715416
471	38.57718185
472	38.4001913
473	38.21656073
474	38.02870569
475	37.79271021
476	37.59642637
477	37.37721329
478	37.25050695
479	36.97220366
480	36.86091323
481	36.70459826
482	36.37730414
483	35.86873811
484	35.66034084
485	35.42136917
486	35.27811816
487	35.18001758
488	34.72642133
489	34.44841441
490	34.21840713
491	34.01936756
492	33.91053105
493	33.63602417
494	33.47405811
495	33.31664587
496	33.16712241
497	33.01628785
498	32.93021653
499	32.62721624
500	32.48937669
501	32.41264926
502	32.11073442
503	31.77262968
504	31.56768345
505	31.35196773
506	31.18033744
507	30.8197586
508	30.61141263
509	30.40197541
510	30.22197144
511	29.97277909
512	29.90339754
513	29.77073699
514	29.54126486
515	29.36306738
516	29.19339915
517	29.04281928
518	28.86300992
519	28.80114229
520	28.58162055
521	28.4048991
522	28.27124181
523	28.21506952
524	28.0704079
525	27.88560113
526	27.73592779
527	27.62011859
528	27.34310464
529	27.25523858
530	27.10822356
531	26.90543207
532	26.83328517
533	26.59861251
534	26.4211906
535	26.14154122
536	25.96196678
537	25.83155043
538	25.65373505
539	25.55933892
540	25.43613111
541	25.22445621
542	25.1615672
543	24.92798393
544	24.84428418
545	24.69527991
546	24.59160809
547	24.41560107
548	24.10650284
549	24.02582658
550	23.81362429
551	23.67558982
552	23.39526871
553	23.22118819
554	23.02813525
555	22.88965096
556	22.77216077
557	22.72821571
558	22.6485186
559	22.58218687
560	22.44898447
561	22.34493881
562	22.23906417
563	22.1573677
564	21.9834286
565	21.81981346
566	21.75538085
567	21.59670885
568	21.56196184
569	21.36234879
570	21.26304282
571	21.23287191
572	21.10043688
573	20.93245167
574	20.79011677
575	20.58803101
576	20.52229118
577	20.34950682
578	20.16984604
579	20.03652492
580	19.98071287
581	19.85167692
582	19.73426756
583	19.57727175
584	19.48021014
585	19.29939218
586	19.20449717
587	19.08704702
588	18.9351079
589	18.79762479
590	18.71178454
591	18.59462337
592	18.46105595
593	18.36370249
594	18.29806492
595	18.1816627
596	18.0797474
597	18.00464116
598	17.9736311
599	17.83867455
600	17.67235262
601	17.55585306
602	17.49940434
603	17.43171758
604	17.37716006
605	17.29336334
606	17.21646451
607	17.0623504
608	17.04107958
609	16.95576424
610	16.84313306
611	16.78317445
612	16.69553243
613	16.49531864
614	16.43407374
615	16.38115415
616	16.33636167
617	16.31763891
618	16.14686022
619	16.0997097
620	16.00021547
621	15.93819926
622	15.85394136
623	15.79809658
624	15.68454924
625	15.61124526
626	15.49452175
627	15.37385194
628	15.31095717
629	15.21009636
630	15.15168279
631	15.09989309
632	15.04971515
633	15.00247378
634	14.90871488
635	14.8330082
636	14.79063766
637	14.68875175
638	14.54718686
639	14.48532258
640	14.41714942
641	14.36023959
642	14.2546119
643	14.21222767
644	14.16403382
645	14.07307119
646	13.97584377
647	13.84926273
648	13.73095329
649	13.67826407
650	13.57062562
651	13.48462842
652	13.41259273
653	13.33862921
654	13.24130377
655	13.17631943
656	13.06293155
657	12.94653966
658	12.87123899
659	12.7925295
660	12.71437536
661	12.61340475
662	12.51144985
663	12.42890889
664	12.33563169
665	12.23870145
666	12.17019901
667	12.10271405
668	11.96619947
669	11.89809331
670	11.84033046
671	11.83300106
672	11.77642439
673	11.70250971
674	11.63186756
675	11.56838008
676	11.47878579
677	11.37866454
678	11.30749086
679	11.26073562
680	11.20474018
681	11.15841051
682	11.07600206
683	11.01765399
684	10.96434528
685	10.91697302
686	10.84805728
687	10.79793892
688	10.70513194
689	10.60387963
690	10.49718466
691	10.46541256
692	10.41900686
693	10.35903069
694	10.23558223
695	10.18599233
696	10.11497472
697	9.984545074
698	9.949874263
699	9.914126886
700	9.872467641
701	9.814140215
702	9.655734334
703	9.536408735
704	9.471208377
705	9.432712971
706	9.394331473
707	9.354732535
708	9.281727238
709	9.247525906
710	9.170708231
711	9.108667017
712	9.047477392
713	8.98287239
714	8.935070551
715	8.872525992
716	8.81260024
717	8.751222716
718	8.70316124
719	8.648225762
720	8.618156456
721	8.558013184
722	8.532800434
723	8.473037827
724	8.44470192
725	8.389656078
726	8.323132331
727	8.245016567
728	8.177352153
729	8.129474284
730	8.086855055
731	8.057644327
732	8.032716793
733	7.983419139
734	7.930469612
735	7.878031294
736	7.852169887
737	7.817532476
738	7.791250578
739	7.713951062
740	7.687906052
741	7.636534162
742	7.583872827
743	7.557691783
744	7.46762962
745	7.418199379
746	7.396094257
747	7.31568469
748	7.2733726
749	7.22627132
750	7.172963585
751	7.12343577
752	7.069375195
753	7.032110232
754	6.989138495
755	6.923848346
756	6.879090691
757	6.835736341
758	6.803373604
759	6.783073928
760	6.711970759
761	6.652520767
762	6.613941715
763	6.559955506
764	6.501837863
765	6.436668369
766	6.409937445
767	6.37074772
768	6.313839941
769	6.268344848
770	6.222510952
771	6.201995284
772	6.151724581
773	6.101285842
774	6.065838664
775	6.046768029
776	6.011660906
777	5.971418688
778	5.950855882
779	5.932285329
780	5.876995658
781	5.844706448
782	5.779267438
783	5.744721665
784	5.706325515
785	5.670080411
786	5.622296159
787	5.584950488
788	5.538679517
789	5.504252987
790	5.470013495
791	5.431214294
792	5.379003674
793	5.332132543
794	5.287398759
795	5.242869348
796	5.214755858
797	5.170340669
798	5.130141284
799	5.088285955
800	5.060627775
801	5.027667118
802	4.998497411
803	4.969889302
804	4.935055393
805	4.891420251
806	4.888688686
807	4.84882256
808	4.820225848
809	4.773952796
810	4.741141583
811	4.704261341
812	4.67701747
813	4.63784614
814	4.623486568
815	4.583380197
816	4.55166018
817	4.525360637
818	4.502951673
819	4.472093304
820	4.439381131
821	4.415698179
822	4.387320435
823	4.357098664
824	4.335366232
825	4.301727915
826	4.278312106
827	4.25166431
828	4.219256667
829	4.199864863
830	4.188809119
831	4.166502526
832	4.152339873
833	4.142475633
834	4.119522928
835	4.095102692
836	4.082241685
837	4.061038759
838	4.024108796
839	3.971045355
840	3.955243732
841	3.905503605
842	3.882696063
843	3.853751746
844	3.852151683
845	3.824507401
846	3.785416725
847	3.754965364
848	3.719603185
849	3.695134172
850	3.676051783
851	3.651267371
852	3.626031518
853	3.601104
854	3.574653667
855	3.553004039
856	3.532380155
857	3.513471295
858	3.492997905
859	3.473308417
860	3.436449628
861	3.416678461
862	3.393835789
863	3.378588155
864	3.336857288
865	3.326396525
866	3.303921324
867	3.286185926
868	3.250020603
869	3.224362775
870	3.210626587
871	3.193935988
872	3.17735826
873	3.155675064
874	3.135468128
875	3.118266469
876	3.088410773
877	3.066942681
878	3.040343224
879	3.016411784
880	2.999877982
881	2.971536857
882	2.938475701
883	2.923602084
884	2.900915227
885	2.877604802
886	2.86381878
887	2.839394414
888	2.814636678
889	2.802423521
890	2.790432677
891	2.771711265
892	2.757824178
893	2.73678513
894	2.722971531
895	2.707948332
896	2.685761251
897	2.676529107
898	2.674139445
899	2.639303688
900	2.615323126
901	2.603003331
902	2.582272429
903	2.570666114
904	2.561901629
905	2.546520853
906	2.534875408
907	2.518585113
908	2.503049095
909	2.4915895
910	2.467896067
911	2.455575803
912	2.436643164
913	2.427488176
914	2.405495723
915	2.394560036
916	2.386262268
917	2.378957008
918	2.365146304
919	2.342733772
920	2.329768721
921	2.306135819
922	2.29059936
923	2.274488068
924	2.258270294
925	2.246623242
926	2.237572999
927	2.221375683
928	2.210753518
929	2.19898799
930	2.193506637
931	2.176689718
932	2.169220526
933	2.151290664
934	2.138507961
935	2.127844526
936	2.11638543
937	2.109884945
938	2.096354015
939	2.086817486
940	2.077925551
941	2.071288642
942	2.065078375
943	2.050185672
944	2.041989832
945	2.029073701
946	2.014247337
947	2.007089821
948	1.98491857
949	1.969400705
950	1.953751149
951	1.93995842
952	1.93154451
953	1.910478299
954	1.904912109
955	1.886939594
956	1.874145499
957	1.865580197
958	1.860177551
959	1.85336184
960	1.847127673
961	1.836798449
962	1.825015094
963	1.810913156
964	1.803695356
965	1.798607143
966	1.780891262
967	1.768813664
968	1.760772416
969	1.747210081
970	1.737153381
971	1.732856573
972	1.714339891
973	1.708340026
974	1.691947511
975	1.675783673
976	1.656016866
977	1.63457682
978	1.628131303
979	1.610426044
980	1.603254839
981	1.589875172
982	1.583571416
983	1.575991462
984	1.566594836
985	1.554358168
986	1.532169423
987	1.517682513
988	1.50683703
989	1.495309808
990	1.493015349
991	1.484110534
992	1.471180329
993	1.457659086
994	1.440999245
995	1.426134741
996	1.41487327
997	1.403012568
998	1.389385458
999	1.38150391
